building_name,building_address,building_description,building_units_available,apt_type,apt_rent,apt_footage,rooms,latitude,longitude,distance_wh,distance_cap,zscore_price
Connecticut Heights,"4850 Connecticut Ave NW, Washington, DC","Studios and 1-2 bedroom apartments available in mid-rise, vintage-style complex. Conveniently located to bus stop and Van Ness Metro. Recently renovated with hardwood floors and dishwasher.",34,2 Bedrooms,2000,822,3,38.95285620000001,-77.06890329999997,6740,8718,-0.31090136920617545
The Flats at Dupont Circle,"2000 N St NW, Washington, DC","Spacious apartments with gas stoves, walk-in closets and stainless steel appliances. Amenities include 24-hour gym, laundry, concierge and maintenance services. Pool, hot tub and yoga studio. Pet-friendly and green community. Located SW of Dupont Circle.",21,Studio,1891,490,1,38.9070561,-77.04540000000001,1320,3713,-0.38253602870866893
The Flats at Dupont Circle,"2000 N St NW, Washington, DC","Spacious apartments with gas stoves, walk-in closets and stainless steel appliances. Amenities include 24-hour gym, laundry, concierge and maintenance services. Pool, hot tub and yoga studio. Pet-friendly and green community. Located SW of Dupont Circle.",21,1 Bedroom,2164,711,2,38.9070561,-77.04540000000001,1320,3713,-0.20312078059691924
The Flats at Dupont Circle,"2000 N St NW, Washington, DC","Spacious apartments with gas stoves, walk-in closets and stainless steel appliances. Amenities include 24-hour gym, laundry, concierge and maintenance services. Pool, hot tub and yoga studio. Pet-friendly and green community. Located SW of Dupont Circle.",21,2 Bedrooms,4010,1052,3,38.9070561,-77.04540000000001,1320,3713,1.0100680399682456
Alban Towers,"3700 Massachusetts Ave NW, Washington, DC","Historic Georgetown neighborhood with restaurants, bars and cultural activities nearby. Pet-friendly building with concierge service, heated indoor pool, clubhouse and piano room. Luxury units with sunrooms, private balconies and on-site parking.",8,Studio,1311,480,1,38.92777570000001,-77.07380479999998,4685,7041,-0.763711281107258
Alban Towers,"3700 Massachusetts Ave NW, Washington, DC","Historic Georgetown neighborhood with restaurants, bars and cultural activities nearby. Pet-friendly building with concierge service, heated indoor pool, clubhouse and piano room. Luxury units with sunrooms, private balconies and on-site parking.",8,1 Bedroom,2428,761,2,38.92777570000001,-77.07380479999998,4685,7041,-0.02962032088445796
Alban Towers,"3700 Massachusetts Ave NW, Washington, DC","Historic Georgetown neighborhood with restaurants, bars and cultural activities nearby. Pet-friendly building with concierge service, heated indoor pool, clubhouse and piano room. Luxury units with sunrooms, private balconies and on-site parking.",8,2 Bedrooms,3753,1150,3,38.92777570000001,-77.07380479999998,4685,7041,0.8411679712330086
Alban Towers,"3700 Massachusetts Ave NW, Washington, DC","Historic Georgetown neighborhood with restaurants, bars and cultural activities nearby. Pet-friendly building with concierge service, heated indoor pool, clubhouse and piano room. Luxury units with sunrooms, private balconies and on-site parking.",8,Studio,1311,480,1,38.92777570000001,-77.07380479999998,4685,7041,-0.763711281107258
Alban Towers,"3700 Massachusetts Ave NW, Washington, DC","Historic Georgetown neighborhood with restaurants, bars and cultural activities nearby. Pet-friendly building with concierge service, heated indoor pool, clubhouse and piano room. Luxury units with sunrooms, private balconies and on-site parking.",8,1 Bedroom,2428,761,2,38.92777570000001,-77.07380479999998,4685,7041,-0.02962032088445796
Alban Towers,"3700 Massachusetts Ave NW, Washington, DC","Historic Georgetown neighborhood with restaurants, bars and cultural activities nearby. Pet-friendly building with concierge service, heated indoor pool, clubhouse and piano room. Luxury units with sunrooms, private balconies and on-site parking.",8,2 Bedrooms,3753,1150,3,38.92777570000001,-77.07380479999998,4685,7041,0.8411679712330086
Calvert Woodley,"2601 Woodley Pl NW, Washington, DC","Experience life in the leafy Woodley Park neighborhood. Public transit access is nearby, with the Metro just a block away. Enjoy spacious apartments, complete with hardwood floors and a recently renovated kitchen.",11,Studio,1672,534,1,38.9238808,-77.05019490000002,3139,5211,-0.5264625464246879
Calvert Woodley,"2601 Woodley Pl NW, Washington, DC","Experience life in the leafy Woodley Park neighborhood. Public transit access is nearby, with the Metro just a block away. Enjoy spacious apartments, complete with hardwood floors and a recently renovated kitchen.",11,1 Bedroom,1986,800,2,38.9238808,-77.05019490000002,3139,5211,-0.3201021511606242
Calvert Woodley,"2601 Woodley Pl NW, Washington, DC","Experience life in the leafy Woodley Park neighborhood. Public transit access is nearby, with the Metro just a block away. Enjoy spacious apartments, complete with hardwood floors and a recently renovated kitchen.",11,2 Bedrooms,2772,1260,3,38.9238808,-77.05019490000002,3139,5211,0.19645603571056733
Calvert Woodley,"2601 Woodley Pl NW, Washington, DC","Experience life in the leafy Woodley Park neighborhood. Public transit access is nearby, with the Metro just a block away. Enjoy spacious apartments, complete with hardwood floors and a recently renovated kitchen.",11,Studio,1672,534,1,38.9238808,-77.05019490000002,3139,5211,-0.5264625464246879
Calvert Woodley,"2601 Woodley Pl NW, Washington, DC","Experience life in the leafy Woodley Park neighborhood. Public transit access is nearby, with the Metro just a block away. Enjoy spacious apartments, complete with hardwood floors and a recently renovated kitchen.",11,1 Bedroom,1986,800,2,38.9238808,-77.05019490000002,3139,5211,-0.3201021511606242
Calvert Woodley,"2601 Woodley Pl NW, Washington, DC","Experience life in the leafy Woodley Park neighborhood. Public transit access is nearby, with the Metro just a block away. Enjoy spacious apartments, complete with hardwood floors and a recently renovated kitchen.",11,2 Bedrooms,2772,1260,3,38.9238808,-77.05019490000002,3139,5211,0.19645603571056733
2501 Porter,"2501 Porter St NW, Washington, DC","1-2 bedroom apartments feature oversized French windows for ample natural light, stainless steel appliances in the kitchen and chic wooden flooring. Located close to Adams Morgan for impressive shopping and entertainment options.",13,1 Bedroom,2146,685,2,38.9354574,-77.0539728,4452,6398,-0.21495035739549612
2501 Porter,"2501 Porter St NW, Washington, DC","1-2 bedroom apartments feature oversized French windows for ample natural light, stainless steel appliances in the kitchen and chic wooden flooring. Located close to Adams Morgan for impressive shopping and entertainment options.",13,2 Bedrooms,2557,989,3,38.9354574,-77.0539728,4452,6398,0.055158312838676525
2501 Porter,"2501 Porter St NW, Washington, DC","1-2 bedroom apartments feature oversized French windows for ample natural light, stainless steel appliances in the kitchen and chic wooden flooring. Located close to Adams Morgan for impressive shopping and entertainment options.",13,1 Bedroom,2146,685,2,38.9354574,-77.0539728,4452,6398,-0.21495035739549612
2501 Porter,"2501 Porter St NW, Washington, DC","1-2 bedroom apartments feature oversized French windows for ample natural light, stainless steel appliances in the kitchen and chic wooden flooring. Located close to Adams Morgan for impressive shopping and entertainment options.",13,2 Bedrooms,2557,989,3,38.9354574,-77.0539728,4452,6398,0.055158312838676525
Cleveland House,"2727 29th St NW, Washington, DC","Want included utilities? Look no further than Cleveland House Apartments in Washington, D.C. Offers pet-friendly one-and two-bedroom apartments with high-ceilings, hardwood floors, ample closet space, lots of windows. Walk to Woodley Park and Connecticut Avenue.",13,Studio,1591,505,1,38.92426469999999,-77.05687619999998,3452,5657,-0.579695642018284
Cleveland House,"2727 29th St NW, Washington, DC","Want included utilities? Look no further than Cleveland House Apartments in Washington, D.C. Offers pet-friendly one-and two-bedroom apartments with high-ceilings, hardwood floors, ample closet space, lots of windows. Walk to Woodley Park and Connecticut Avenue.",13,1 Bedroom,1805,800,2,38.92426469999999,-77.05687619999998,3452,5657,-0.4390551178574253
Cleveland House,"2727 29th St NW, Washington, DC","Want included utilities? Look no further than Cleveland House Apartments in Washington, D.C. Offers pet-friendly one-and two-bedroom apartments with high-ceilings, hardwood floors, ample closet space, lots of windows. Walk to Woodley Park and Connecticut Avenue.",13,2 Bedrooms,2502,1215,3,38.92426469999999,-77.05687619999998,3452,5657,0.01901238373191376
Cleveland House,"2727 29th St NW, Washington, DC","Want included utilities? Look no further than Cleveland House Apartments in Washington, D.C. Offers pet-friendly one-and two-bedroom apartments with high-ceilings, hardwood floors, ample closet space, lots of windows. Walk to Woodley Park and Connecticut Avenue.",13,Studio,1591,505,1,38.92426469999999,-77.05687619999998,3452,5657,-0.579695642018284
Cleveland House,"2727 29th St NW, Washington, DC","Want included utilities? Look no further than Cleveland House Apartments in Washington, D.C. Offers pet-friendly one-and two-bedroom apartments with high-ceilings, hardwood floors, ample closet space, lots of windows. Walk to Woodley Park and Connecticut Avenue.",13,1 Bedroom,1805,800,2,38.92426469999999,-77.05687619999998,3452,5657,-0.4390551178574253
Cleveland House,"2727 29th St NW, Washington, DC","Want included utilities? Look no further than Cleveland House Apartments in Washington, D.C. Offers pet-friendly one-and two-bedroom apartments with high-ceilings, hardwood floors, ample closet space, lots of windows. Walk to Woodley Park and Connecticut Avenue.",13,2 Bedrooms,2502,1215,3,38.92426469999999,-77.05687619999998,3452,5657,0.01901238373191376
Corcoran House at Dupont Circle,"1616 18th St NW, Washington, DC","Spacious, airy apartments located near some of D.C.'s most exciting nightlife. Granite countertops, hardwood floors and stainless steel appliances. On-site parking and laundry. Pets welcome.",9,Studio,1633,453,1,38.91220029999999,-77.04194150000002,1668,3800,-0.552093296154938
Corcoran House at Dupont Circle,"1616 18th St NW, Washington, DC","Spacious, airy apartments located near some of D.C.'s most exciting nightlife. Granite countertops, hardwood floors and stainless steel appliances. On-site parking and laundry. Pets welcome.",9,1 Bedroom,2233,750,2,38.91220029999999,-77.04194150000002,1668,3800,-0.15777406953570774
Corcoran House at Dupont Circle,"1616 18th St NW, Washington, DC","Spacious, airy apartments located near some of D.C.'s most exciting nightlife. Granite countertops, hardwood floors and stainless steel appliances. On-site parking and laundry. Pets welcome.",9,Studio,1633,453,1,38.91220029999999,-77.04194150000002,1668,3800,-0.552093296154938
Corcoran House at Dupont Circle,"1616 18th St NW, Washington, DC","Spacious, airy apartments located near some of D.C.'s most exciting nightlife. Granite countertops, hardwood floors and stainless steel appliances. On-site parking and laundry. Pets welcome.",9,1 Bedroom,2233,750,2,38.91220029999999,-77.04194150000002,1668,3800,-0.15777406953570774
425 Mass,"425 Massachusetts Ave NW, Washington, DC","Located in downtown Washington, DC. Walk-in closets, hardwood floors and granite counters. Pet-friendly building. Amenities include gardens, yoga, coffee bar, pool, game room and 24-hour gym.",35,Studio,1522,520,1,38.9008429,-77.0170211,1626,1406,-0.6250423530794955
425 Mass,"425 Massachusetts Ave NW, Washington, DC","Located in downtown Washington, DC. Walk-in closets, hardwood floors and granite counters. Pet-friendly building. Amenities include gardens, yoga, coffee bar, pool, game room and 24-hour gym.",35,1 Bedroom,1845,855,2,38.9008429,-77.0170211,1626,1406,-0.4127671694161433
425 Mass,"425 Massachusetts Ave NW, Washington, DC","Located in downtown Washington, DC. Walk-in closets, hardwood floors and granite counters. Pet-friendly building. Amenities include gardens, yoga, coffee bar, pool, game room and 24-hour gym.",35,2 Bedrooms,3155,1507,3,38.9008429,-77.0170211,1626,1406,0.44816314203584257
2400 M,"2400 M St NW, Washington, DC","Recently renovated units have granite countertops, hardwood floors and stainless steel appliances. Tenants have access to rooftop deck, BBQ/grill, courtyard, pool and clubhouse. 24-hour gym and concierge service. Dog- and cat-friendly.",20,Studio,2281,540,1,38.90513350000001,-77.05217429999998,1650,4138,-0.12622853140616935
2400 M,"2400 M St NW, Washington, DC","Recently renovated units have granite countertops, hardwood floors and stainless steel appliances. Tenants have access to rooftop deck, BBQ/grill, courtyard, pool and clubhouse. 24-hour gym and concierge service. Dog- and cat-friendly.",20,1 Bedroom,2670,929,2,38.90513350000001,-77.05217429999998,1650,4138,0.12942176718529821
2400 M,"2400 M St NW, Washington, DC","Recently renovated units have granite countertops, hardwood floors and stainless steel appliances. Tenants have access to rooftop deck, BBQ/grill, courtyard, pool and clubhouse. 24-hour gym and concierge service. Dog- and cat-friendly.",20,2 Bedrooms,4928,1335,3,38.90513350000001,-77.05217429999998,1650,4138,1.6133764566956676
2400 M,"2400 M St NW, Washington, DC","Recently renovated units have granite countertops, hardwood floors and stainless steel appliances. Tenants have access to rooftop deck, BBQ/grill, courtyard, pool and clubhouse. 24-hour gym and concierge service. Dog- and cat-friendly.",20,Studio,2281,540,1,38.90513350000001,-77.05217429999998,1650,4138,-0.12622853140616935
2400 M,"2400 M St NW, Washington, DC","Recently renovated units have granite countertops, hardwood floors and stainless steel appliances. Tenants have access to rooftop deck, BBQ/grill, courtyard, pool and clubhouse. 24-hour gym and concierge service. Dog- and cat-friendly.",20,1 Bedroom,2670,929,2,38.90513350000001,-77.05217429999998,1650,4138,0.12942176718529821
2400 M,"2400 M St NW, Washington, DC","Recently renovated units have granite countertops, hardwood floors and stainless steel appliances. Tenants have access to rooftop deck, BBQ/grill, courtyard, pool and clubhouse. 24-hour gym and concierge service. Dog- and cat-friendly.",20,2 Bedrooms,4928,1335,3,38.90513350000001,-77.05217429999998,1650,4138,1.6133764566956676
1210 Mass,"1210 Massachusetts Ave NW, Washington, DC","Located just south of Thomas Circle. Just a short walk to Metro Center and blocks from both McPherson Square and Mt. Vernon Square. Pet-friendly with game room, media room, courtyard and garage.",17,Studio,1819,595,1,38.904179,-77.028713,895,2349,-0.42985433590297656
1210 Mass,"1210 Massachusetts Ave NW, Washington, DC","Located just south of Thomas Circle. Just a short walk to Metro Center and blocks from both McPherson Square and Mt. Vernon Square. Pet-friendly with game room, media room, courtyard and garage.",17,1 Bedroom,2135,744,2,38.904179,-77.028713,895,2349,-0.22217954321684869
1210 Mass,"1210 Massachusetts Ave NW, Washington, DC","Located just south of Thomas Circle. Just a short walk to Metro Center and blocks from both McPherson Square and Mt. Vernon Square. Pet-friendly with game room, media room, courtyard and garage.",17,2 Bedrooms,2866,1160,3,38.904179,-77.028713,895,2349,0.25823271454758007
1210 Mass,"1210 Massachusetts Ave NW, Washington, DC","Located just south of Thomas Circle. Just a short walk to Metro Center and blocks from both McPherson Square and Mt. Vernon Square. Pet-friendly with game room, media room, courtyard and garage.",17,Studio,1819,595,1,38.904179,-77.028713,895,2349,-0.42985433590297656
1210 Mass,"1210 Massachusetts Ave NW, Washington, DC","Located just south of Thomas Circle. Just a short walk to Metro Center and blocks from both McPherson Square and Mt. Vernon Square. Pet-friendly with game room, media room, courtyard and garage.",17,1 Bedroom,2135,744,2,38.904179,-77.028713,895,2349,-0.22217954321684869
1210 Mass,"1210 Massachusetts Ave NW, Washington, DC","Located just south of Thomas Circle. Just a short walk to Metro Center and blocks from both McPherson Square and Mt. Vernon Square. Pet-friendly with game room, media room, courtyard and garage.",17,2 Bedrooms,2866,1160,3,38.904179,-77.028713,895,2349,0.25823271454758007
RiverPoint,"2121 First Street SW, Washington, DC","Just south of the Navy Yard, at the tip of the new Buzzard Point neighborhood, an unprecedented waterscape awaits. This is the setting for modern apartment living on the city's most expansive waterfront.",160,Studio,1877,486,1,38.8637898,-77.01219019999998,4306,2931,-0.39173681066311766
RiverPoint,"2121 First Street SW, Washington, DC","Just south of the Navy Yard, at the tip of the new Buzzard Point neighborhood, an unprecedented waterscape awaits. This is the setting for modern apartment living on the city's most expansive waterfront.",160,1 Bedroom,2037,782,2,38.8637898,-77.01219019999998,4306,2931,-0.2865850168979896
RiverPoint,"2121 First Street SW, Washington, DC","Just south of the Navy Yard, at the tip of the new Buzzard Point neighborhood, an unprecedented waterscape awaits. This is the setting for modern apartment living on the city's most expansive waterfront.",160,2 Bedrooms,3380,1084,3,38.8637898,-77.01219019999998,4306,2931,0.5960328520180539
RiverPoint,"2121 First Street SW, Washington, DC","Just south of the Navy Yard, at the tip of the new Buzzard Point neighborhood, an unprecedented waterscape awaits. This is the setting for modern apartment living on the city's most expansive waterfront.",160,Studio,1877,486,1,38.8637898,-77.01219019999998,4306,2931,-0.39173681066311766
RiverPoint,"2121 First Street SW, Washington, DC","Just south of the Navy Yard, at the tip of the new Buzzard Point neighborhood, an unprecedented waterscape awaits. This is the setting for modern apartment living on the city's most expansive waterfront.",160,1 Bedroom,2037,782,2,38.8637898,-77.01219019999998,4306,2931,-0.2865850168979896
RiverPoint,"2121 First Street SW, Washington, DC","Just south of the Navy Yard, at the tip of the new Buzzard Point neighborhood, an unprecedented waterscape awaits. This is the setting for modern apartment living on the city's most expansive waterfront.",160,2 Bedrooms,3375,1084,3,38.8637898,-77.01219019999998,4306,2931,0.5927468584628937
The Kelvin,"1250 Half Street Southeast, Washington, DC",The Kelvin is the newest vantage point in the Capitol Riverfront.,150,Studio,1775,474,1,38.8755411,-77.00727380000002,3495,1614,-0.4587710791883868
The Kelvin,"1250 Half Street Southeast, Washington, DC",The Kelvin is the newest vantage point in the Capitol Riverfront.,150,1 Bedroom,2085,622,2,38.8755411,-77.00727380000002,3495,1614,-0.2550394787684512
The Kelvin,"1250 Half Street Southeast, Washington, DC",The Kelvin is the newest vantage point in the Capitol Riverfront.,150,2 Bedrooms,2770,999,3,38.8755411,-77.00727380000002,3495,1614,0.19514163828850323
The Kelvin,"1250 Half Street Southeast, Washington, DC",The Kelvin is the newest vantage point in the Capitol Riverfront.,148,Studio,1775,474,1,38.8755411,-77.00727380000002,3495,1614,-0.4587710791883868
The Kelvin,"1250 Half Street Southeast, Washington, DC",The Kelvin is the newest vantage point in the Capitol Riverfront.,148,1 Bedroom,2085,622,2,38.8755411,-77.00727380000002,3495,1614,-0.2550394787684512
The Kelvin,"1250 Half Street Southeast, Washington, DC",The Kelvin is the newest vantage point in the Capitol Riverfront.,148,2 Bedrooms,2770,999,3,38.8755411,-77.00727380000002,3495,1614,0.19514163828850323
Senate Square,"201 I St NE, Washington, DC","Close to Union Station and Capitol Hill. Upscale apartment community boasting spectacular city views. Apartments feature modern kitchens with granite countertops and stainless steel appliances, and luxury bedrooms with large windows and oversized closets.",29,Studio,2188,680,1,38.9009036,-77.0032763,2807,1289,-0.18734801153215003
Senate Square,"201 I St NE, Washington, DC","Close to Union Station and Capitol Hill. Upscale apartment community boasting spectacular city views. Apartments feature modern kitchens with granite countertops and stainless steel appliances, and luxury bedrooms with large windows and oversized closets.",29,1 Bedroom,2104,974,2,38.9009036,-77.0032763,2807,1289,-0.24255270325884223
Senate Square,"201 I St NE, Washington, DC","Close to Union Station and Capitol Hill. Upscale apartment community boasting spectacular city views. Apartments feature modern kitchens with granite countertops and stainless steel appliances, and luxury bedrooms with large windows and oversized closets.",29,2 Bedrooms,3385,1377,3,38.9009036,-77.0032763,2807,1289,0.5993188455732141
Senate Square,"201 I St NE, Washington, DC","Close to Union Station and Capitol Hill. Upscale apartment community boasting spectacular city views. Apartments feature modern kitchens with granite countertops and stainless steel appliances, and luxury bedrooms with large windows and oversized closets.",29,Studio,2188,680,1,38.9009036,-77.0032763,2807,1289,-0.18734801153215003
Senate Square,"201 I St NE, Washington, DC","Close to Union Station and Capitol Hill. Upscale apartment community boasting spectacular city views. Apartments feature modern kitchens with granite countertops and stainless steel appliances, and luxury bedrooms with large windows and oversized closets.",29,1 Bedroom,2104,974,2,38.9009036,-77.0032763,2807,1289,-0.24255270325884223
Senate Square,"201 I St NE, Washington, DC","Close to Union Station and Capitol Hill. Upscale apartment community boasting spectacular city views. Apartments feature modern kitchens with granite countertops and stainless steel appliances, and luxury bedrooms with large windows and oversized closets.",29,2 Bedrooms,3385,1377,3,38.9009036,-77.0032763,2807,1289,0.5993188455732141
1331,"1331 Maryland Avenue Southwest, Washington, DC","Designed by Robert A.M. Stern Architects, one of the nation's premier firms, 1331 represents a new benchmark in residential communities.",171,Studio,1311,480,1,38.88409650000001,-77.0310022,1597,2057,-0.763711281107258
1331,"1331 Maryland Avenue Southwest, Washington, DC","Designed by Robert A.M. Stern Architects, one of the nation's premier firms, 1331 represents a new benchmark in residential communities.",171,1 Bedroom,2099,749,2,38.88409650000001,-77.0310022,1597,2057,-0.2458386968140025
1331,"1331 Maryland Avenue Southwest, Washington, DC","Designed by Robert A.M. Stern Architects, one of the nation's premier firms, 1331 represents a new benchmark in residential communities.",171,2 Bedrooms,3566,1320,3,38.88409650000001,-77.0310022,1597,2057,0.7182718122700152
1331,"1331 Maryland Avenue Southwest, Washington, DC","Designed by Robert A.M. Stern Architects, one of the nation's premier firms, 1331 represents a new benchmark in residential communities.",171,Studio,1311,480,1,38.88409650000001,-77.0310022,1597,2057,-0.763711281107258
1331,"1331 Maryland Avenue Southwest, Washington, DC","Designed by Robert A.M. Stern Architects, one of the nation's premier firms, 1331 represents a new benchmark in residential communities.",171,1 Bedroom,2099,749,2,38.88409650000001,-77.0310022,1597,2057,-0.2458386968140025
1331,"1331 Maryland Avenue Southwest, Washington, DC","Designed by Robert A.M. Stern Architects, one of the nation's premier firms, 1331 represents a new benchmark in residential communities.",171,2 Bedrooms,3566,1320,3,38.88409650000001,-77.0310022,1597,2057,0.7182718122700152
555,"555 E Street Southwest, Washington, DC","Southwest DC is calling you home. Offering 194 brand new apartments within walking distance of the National Mall, The Wharf, and L'Enfant Plaza, 555 provides convenient access to the best of the city.",124,Studio,1950,592,1,38.88370889999999,-77.01954649999998,2106,1185,-0.343761304757778
555,"555 E Street Southwest, Washington, DC","Southwest DC is calling you home. Offering 194 brand new apartments within walking distance of the National Mall, The Wharf, and L'Enfant Plaza, 555 provides convenient access to the best of the city.",124,1 Bedroom,2074,722,2,38.88370889999999,-77.01954649999998,2106,1185,-0.26226866458980375
555,"555 E Street Southwest, Washington, DC","Southwest DC is calling you home. Offering 194 brand new apartments within walking distance of the National Mall, The Wharf, and L'Enfant Plaza, 555 provides convenient access to the best of the city.",124,2 Bedrooms,3090,1042,3,38.88370889999999,-77.01954649999998,2106,1185,0.4054452258187593
Resa,"22 M Street Northeast, Washington, DC","At RESA, living centers around the Swedish concept of lagom: creating a life that is just right. A glass of wine with friends, cooking with loved ones, reading by the fire, or lounging on the terrace watching the sunset.",96,Studio,1608,469,1,38.90580720000001,-77.0080712,2524,1750,-0.5685232639307392
Resa,"22 M Street Northeast, Washington, DC","At RESA, living centers around the Swedish concept of lagom: creating a life that is just right. A glass of wine with friends, cooking with loved ones, reading by the fire, or lounging on the terrace watching the sunset.",96,1 Bedroom,1853,697,2,38.90580720000001,-77.0080712,2524,1750,-0.4075095797278869
Resa,"22 M Street Northeast, Washington, DC","At RESA, living centers around the Swedish concept of lagom: creating a life that is just right. A glass of wine with friends, cooking with loved ones, reading by the fire, or lounging on the terrace watching the sunset.",96,2 Bedrooms,3287,1076,3,38.90580720000001,-77.0080712,2524,1750,0.5349133718920732
